??????????????撥?????????朵??????軋,???遴???????軋,??伍??撥???????賹????,?鈭?,?璇ｇ????伍?????摹??????,,,,,,
TXO_N5,2018/6/15,14.21,14.9,13.81,14.13,TX201806 ??? 2018/06,2018/6/15,0.6281,11055,145449
TXO_N5 ,2018/6/14,14.31,14.35,13.87,14.21,TX201807 ??? 2018/07,2018/6/15,0.6052,10808,24657
TXO_N5,2018/6/13,14.19,14.36,14.01,14.01,TX201806 ??? 2018/06,2018/6/14,-1.4445,10985,143124
TXO_N5,2018/6/12,14.49,14.55,14.15,14.42,TX201807 ??? 2018/07,2018/6/14,-1.3954,10742,11364
TXO_N5,2018/6/11,13.86,14.45,13.8,14.45,TX201806 ??? 2018/06,2018/6/13,0.0449,11146,114215
TXO_N5,2018/6/8,13.6,13.81,13.27,13.81,TX201807 ??? 2018/07,2018/6/13,0.0551,10893,2850
TXO_N5,2018/6/7,13.68,13.91,13.11,13.2,TX201806 ??? 2018/06,2018/6/12,0.1168,11141,159832
TXO_N5,2018/6/6,13.67,13.73,13.33,13.56,TX201807 ??? 2018/07,2018/6/12,0.2025,10886,4274
TXO_N5,2018/6/5,13.8,14.02,13.45,14.02,TX201806 ??? 2018/06,2018/6/11,0.027,11128,104423
TXO_N5,2018/6/4,13.64,13.83,13.31,13.83,TX201807 ??? 2018/07,2018/6/11,0.0184,10866,2102
TXO_N5,2018/6/1,13.8,14.13,13.12,14.13,TX201806 ??? 2018/06,2018/6/8,-0.9085,11125,122509
TXO_N5,2018/5/31,13.78,14,13.61,14,TX201807 ??? 2018/07,2018/6/8,-0.9212,10864,1839
TXO_N5,2018/5/30,14.39,15,14.17,15,TX201806 ??? 2018/06,2018/6/7,0.259,11227,127407
TXO_N5,2018/5/29,13.24,13.48,13.18,13.28,TX201807 ??? 2018/07,2018/6/7,0.2469,10963,2461
TXO_N5,2018/5/28,13.05,13.3,13.02,13.09,TX201806 ??? 2018/06,2018/6/6,1.1654,11200,134205
TXO_N5,2018/5/25,13.42,13.5,12.96,13.05,TX201807 ??? 2018/07,2018/6/6,1.1936,10938,2657
TXO_N5,2018/5/24,13.24,13.72,13.16,13.27,TX201806 ??? 2018/06,2018/6/5,-0.1353,11069,119504
TXO_N5,2018/5/23,12.78,13.55,12.77,13.55,TX201807 ??? 2018/07,2018/6/5,-0.1109,10807,2098
TXO_N5,2018/5/22,12.89,13.02,12.75,12.91,TX201806 ??? 2018/06,2018/6/4,1.5576,11085,109687
TXO_N5,2018/5/21,13.18,13.18,12.81,13.09,TX201807 ??? 2018/07,2018/6/4,1.5295,10821,3420
TXO_N5,2018/5/18,13.09,13.29,12.72,13.29,TX201806 ??? 2018/06,2018/6/1,0.451,10915,111930
TXO_N5,2018/5/17,12.97,13.23,12.84,13.23,TX201807 ??? 2018/07,2018/6/1,0.4524,10655,1607
TXO_N5,2018/5/16,13.59,13.6,13.03,13.03,TX201806 ??? 2018/06,2018/5/31,0.8259,10867,124660
TXO_N5,2018/5/15,12.73,13.27,12.64,12.94,TX201807 ??? 2018/07,2018/5/31,0.7981,10609,1730
TXO_N5,2018/5/14,13.07,13.28,12.61,12.81,TX201806 ??? 2018/06,2018/5/30,-1.3999,10775,151570
TXO_N5,2018/5/11,12.91,13.07,12.84,12.89,TX201807 ??? 2018/07,2018/5/30,-1.4052,10524,2016
TXO_N5,2018/5/10,13.15,13.32,12.95,13.03,TX201806 ??? 2018/06,2018/5/29,-0.4917,10928,119010
TXO_N5,2018/5/9,13.71,13.72,13.3,13.65,TX201807 ??? 2018/07,2018/5/29,-0.494,10675,1685
